Título,Link,Resumo
Anvisa desenvolve projeto-piloto para criar modelo de dados de mundo real de medicamentos,https://futurodasaude.com.br/anvisa-dados-de-mundo-real/,"Meiruze Freitas, diretora da Anvisa, durante painel sobre dados de mundo real no Rio Health Forum (Foto: divulgação)"
Hapvida investirá R$ 1 bi em São Paulo com foco em ampliar rede própria e planos premium,https://futurodasaude.com.br/hapvida-investimento-sao-paulo/,"CEO da Hapvida,  Jorge Pinheiro fala sobre os investimentos da operadora nos próximos dois anos (Foto: Hudson Cavalcanti)"
"Do câncer de próstata ao diabetes, estigma e comportamento impactam saúde masculina",https://futurodasaude.com.br/desafios-saude-masculina/,"Conscientização do câncer de próstata e diabetes joga luz a questões culturais que ainda impactam a prevenção, o rastreio e o tratamento de doenças"
"Ministério publica PCDT do câncer de mama com cinco novos medicamentos, mas viabilização do acesso ainda é incerta",https://futurodasaude.com.br/pcdt-do-cancer-de-mama-publicado/,Especialistas alertam para a necessidade de atualização das APACs para garantir a oferta dos tratamentos
Programa incentiva ciência e pesquisa entre adolescentes de comunidade em SP,https://futurodasaude.com.br/cientistas-do-amanha-einstein-sp/,"Iniciativa em andamento desde 2022 no bairro de Paraisópolis, em São Paulo, estimula o envolvimento de adolescentes com a ciência"
Emendas Parlamentares ganham força na destinação de recursos para saúde,https://futurodasaude.com.br/emendas-parlamentares-recursos-saude/,Especialistas demonstram preocupação com maior influência do Congresso sobre os gastos com saúde e apontam problemas na gestão desses recursos
"Com mudança da percepção sobre o setor, saúde atrai fundos imobiliários para a construção de novos hospitais",https://futurodasaude.com.br/fundos-imobiliarios-na-saude/,"Consolidação de empresas de saúde atrai investidores, que buscam junto a fundos imobiliários entrar no setor."
"Mulheres ocupam 35% dos altos cargos de liderança em empresas no setor farmacêutico, mostra pesquisa",https://futurodasaude.com.br/mulheres-na-industria-farmaceutica/,Levantamento sobre liderança feminina no setor farmacêutico também mostra que 47% dos postos de coordenação ou supervisão e 38% dos postos de gerência são ocupados por mulheres
"Para hospitais privados, 2025 deve ser mais desafiador que 2024, revela pesquisa da Anahp",https://futurodasaude.com.br/hospitais-privados-pesquisa-anahp/,"Relação com as operadoras dos planos de saúde está no topo de desafios, seguido pela entrega do EBITDA previsto no planejamento."
ANS esclarece que novas regras de cancelamento de planos são para todos os contratos pagos pelo beneficiário,https://futurodasaude.com.br/cancelamento-de-planos-de-saude-por-inadimplencia-novas-regras/,ANS amplia regras de notificação de inadimplência para todos os contratos pagos por beneficiários adquiridos após 1º de janeiro de 1999 ou adaptados à Lei 9656.
Anvisa desenvolve projeto-piloto para criar modelo de dados de mundo real de medicamentos,https://futurodasaude.com.br/anvisa-dados-de-mundo-real/,Agência quer se conectar com hospitais para receber dados de mundo real de outras fontes além da indústria farmacêutica.
Hapvida investirá R$ 1 bi em São Paulo com foco em ampliar rede própria e planos premium,https://futurodasaude.com.br/hapvida-investimento-sao-paulo/,"Dois novos hospitais e duas reinaugurações estão previstos em SP, que receberá metade dos R$ 2 bi em investimentos da Hapvida."
